id,add_all_num,add_under_18_num,add_under_30_num,add_under_setage_num,view_all_num,view_under_18_num,view_under_30_num,view_under_setage_num,msg_all_num,msg_under_18_num,msg_under_30_num,msg_under_setage_num,gift_all_num,gift_under_18_num,gift_under_30_num,gift_under_setage_num
160,164,13,95,22,3039,215,1631,477,215,12,109,35,133,11,70,25
161,186,10,99,28,3410,155,1537,724,272,19,141,51,107,5,59,18
162,105,1,67,3,3783,78,2230,341,337,9,184,55,102,5,45,28
163,13,0,12,0,1895,28,1298,72,64,0,45,0,38,0,24,0
164,13,0,11,2,1240,67,584,270,41,2,27,9,172,10,99,30
165,27,1,15,2,2192,73,1208,372,87,3,55,6,78,3,47,11
166,8,1,5,0,93,6,62,6,15,1,5,0,12,1,8,0
167,20,0,13,0,719,17,419,83,55,1,35,2,40,0,23,3
168,42,1,28,5,1373,32,799,173,37,4,24,8,30,2,19,6
169,45,0,27,1,5285,71,3323,259,159,0,92,4,86,0,48,6
170,12,0,8,2,746,30,336,179,40,0,24,7,37,0,19,6
171,43,2,28,2,1774,97,1053,192,60,8,42,11,236,12,164,22
172,18,3,9,2,2259,42,1458,152,95,4,61,5,62,2,35,5
173,136,4,103,5,2933,84,1865,246,211,5,142,13,108,4,73,9
174,75,0,39,10,1465,42,813,140,90,1,41,9,57,2,31,7
175,36,0,21,0,3441,72,2054,301,79,1,48,1,199,4,123,9
176,14,0,8,1,946,28,540,121,56,2,28,13,50,2,23,11
177,114,4,60,23,1682,72,954,242,112,4,49,23,396,24,279,46
178,40,3,14,12,650,40,229,214,198,11,56,78,99,4,33,26
179,46,0,32,1,1312,36,737,178,120,4,71,8,112,8,73,9
180,108,5,43,20,8010,268,4351,1161,313,33,108,97,93,9,46,26
181,19,0,7,2,397,8,236,22,36,0,16,0,18,1,11,1
182,306,15,165,60,9178,383,4612,1973,653,36,236,219,459,26,157,176
183,34,1,19,3,2088,101,1021,342,114,7,51,13,88,5,46,14
184,46,0,25,2,2866,54,1697,237,115,1,60,3,193,3,111,16
185,130,5,72,14,3151,63,1862,203,211,5,135,3,125,3,86,5
186,16,0,12,0,1359,26,815,122,50,1,32,1,87,2,52,5
187,160,6,83,26,4299,109,2132,730,133,2,59,24,157,7,83,36
188,18,0,9,1,179,7,91,23,28,0,11,3,17,1,11,2
189,49,2,22,10,749,35,344,160,63,2,21,16,47,2,16,11
190,10,0,7,0,861,12,557,54,56,0,40,4,192,2,142,7
191,93,2,68,6,2781,61,1810,186,148,2,99,11,83,0,55,2
192,28,0,12,3,2701,42,1520,235,109,2,57,7,161,0,72,5
193,172,3,121,5,3305,93,2118,236,279,6,194,11,165,1,111,5
194,72,4,25,15,1205,71,380,380,68,4,20,13,53,4,15,17
195,95,3,62,2,956,43,493,134,96,4,56,9,206,11,130,20
196,79,3,50,4,2347,101,1268,377,73,5,45,9,102,7,60,15
197,94,2,33,24,2587,71,1051,572,115,2,27,41,39,2,13,12
198,53,0,36,3,3131,106,1920,291,85,1,48,13,614,15,456,46
199,471,25,273,77,6073,284,2660,1489,502,37,225,142,658,35,252,213
200,64,2,18,22,2591,138,545,1149,76,2,12,33,76,4,10,38
201,30,1,12,1,864,20,488,82,48,0,24,1,48,1,27,7
202,3,0,1,0,313,18,145,81,13,3,5,5,51,9,20,19
203,52,2,43,3,1533,24,946,124,102,1,76,3,293,6,217,11
204,71,0,38,3,784,20,419,83,29,1,15,3,40,2,22,5
205,80,3,30,12,2589,147,1089,611,157,8,50,34,142,8,51,32
206,91,0,53,2,1107,11,626,53,26,0,12,1,21,0,8,1
207,12,0,7,0,1481,23,1002,71,81,0,51,1,112,0,80,2
208,98,1,43,16,3171,103,1568,588,119,1,39,22,177,8,77,47
209,45,0,17,4,617,11,329,58,51,0,23,4,125,3,54,18
210,101,5,54,12,1713,74,844,319,157,2,64,25,253,11,115,43
211,150,4,33,63,1168,68,313,417,121,5,17,56,104,8,18,45
212,9,0,7,0,467,21,284,62,30,0,15,2,32,0,21,2
213,33,1,22,4,2572,50,1576,188,22,1,14,2,90,0,64,7
214,62,5,45,2,3347,152,2028,331,151,10,90,10,128,8,89,7
215,68,0,24,12,1226,27,624,160,38,2,18,8,29,0,18,1
216,13,0,10,0,414,4,240,8,30,0,18,0,17,0,9,0
217,30,1,25,0,4477,80,2857,204,80,1,54,0,116,2,63,7
218,52,0,27,2,8390,183,5186,633,183,2,110,4,179,3,104,11
219,23,1,12,5,2804,52,1639,199,116,3,63,15,89,1,48,9
220,2,0,1,1,139,5,56,32,12,0,8,2,20,0,9,3
221,4,0,1,1,428,13,209,60,34,1,9,3,24,0,7,2
222,47,2,34,3,3516,106,2140,209,165,5,115,8,115,2,82,4
223,28,0,19,0,1746,26,1062,65,71,1,43,3,82,0,49,1
224,5,0,4,0,896,5,546,24,59,0,34,0,33,0,19,1
225,30,0,21,1,3273,119,2149,232,120,4,85,3,65,2,48,4
226,197,11,140,10,1279,58,686,240,187,12,105,28,128,3,82,13
227,364,4,217,25,7209,161,4220,694,513,6,273,61,328,6,160,58
228,182,1,93,23,4618,84,2892,308,245,3,142,18,246,4,126,29
229,55,2,36,5,2085,62,1192,204,192,11,94,21,156,4,87,14
230,71,1,45,3,2300,50,1282,279,96,3,48,13,96,1,49,7
231,106,2,58,19,2366,82,1354,394,287,4,158,45,189,6,102,38
232,91,2,60,6,11164,209,6994,888,422,8,275,26,768,17,473,69
233,69,2,44,5,5110,289,3191,524,132,6,96,7,134,3,89,9
234,70,3,40,4,539,13,317,55,55,4,26,10,31,0,14,5
235,69,6,41,14,605,31,292,154,54,4,26,14,139,2,101,10
236,42,2,22,3,1363,33,678,184,79,3,34,9,97,6,50,10
237,8,0,5,0,777,30,376,143,56,3,28,17,107,1,60,14
238,127,3,68,17,3220,61,1666,349,191,3,103,23,454,14,256,51
239,74,1,53,4,4785,102,3139,371,227,5,153,15,170,4,114,14
240,171,1,103,21,2327,63,1267,352,292,9,160,47,264,7,151,42
241,80,2,48,9,8061,367,4249,1265,269,19,136,45,140,6,68,27
242,16,0,9,0,109,2,65,3,16,0,9,0,8,0,4,0
243,8,0,5,0,288,7,155,14,3,0,2,0,290,10,195,18
244,153,11,98,11,9096,468,5232,1195,207,8,133,17,250,11,165,23
245,76,0,37,14,2821,87,1394,448,140,1,72,25,299,10,128,61
246,19,1,9,1,319,12,168,56,43,1,27,5,343,12,227,30
247,67,4,29,18,2576,111,872,814,134,7,31,49,61,4,22,19
248,336,1,228,15,10699,190,6675,854,515,3,346,23,305,4,167,29
249,24,0,19,0,1631,31,1012,84,120,0,64,6,139,0,79,10
250,3,0,3,0,173,6,115,17,12,0,10,0,4,0,3,0
251,206,0,126,4,3641,53,2031,292,236,0,149,4,38,0,17,0
252,182,1,111,6,8527,151,4792,559,202,2,121,6,387,6,252,35
253,11,0,9,2,431,11,280,20,26,0,17,3,30,0,19,0
254,66,1,46,5,4682,130,2837,366,160,4,106,14,75,3,47,4
255,38,1,20,7,348,15,132,110,147,12,23,84,3,0,1,2
256,133,3,93,8,6017,140,3677,567,134,4,82,11,86,3,52,7
257,97,2,47,10,4528,60,2348,343,105,2,40,19,170,3,78,20
258,368,19,182,66,3190,172,1282,808,312,14,135,66,184,8,89,36
259,111,6,41,30,429,23,141,117,119,6,34,41,91,3,24,36
260,26,1,6,8,2688,134,610,1031,183,8,27,75,60,2,9,28
261,86,7,31,34,1768,82,655,428,103,8,30,43,57,1,15,25
262,9,0,7,0,2108,32,1284,67,28,1,17,1,90,0,61,2
263,56,1,38,3,3090,83,1872,259,278,7,163,23,154,6,84,21
264,11,0,5,0,963,19,459,110,39,0,14,0,55,1,18,12
265,34,0,16,1,1522,29,924,100,102,1,56,8,72,1,49,4
266,75,0,47,5,3799,117,2227,462,169,5,86,29,200,8,87,39
267,92,2,62,5,4201,75,2703,239,243,5,162,14,206,5,141,11
268,112,4,64,9,2158,64,1228,242,122,4,57,11,74,2,36,10
269,4,0,2,0,533,13,344,30,16,0,13,0,17,0,11,1
270,151,4,98,9,1510,35,782,235,77,3,39,13,55,2,33,4
271,193,3,124,10,5782,121,3431,464,329,3,207,18,245,6,140,27
272,60,4,11,28,1185,71,335,424,76,3,16,32,146,4,26,69
273,38,0,20,3,1549,23,865,122,84,0,49,2,89,2,51,3
274,31,1,24,1,1560,59,853,273,77,7,41,19,130,14,32,67
275,22,0,15,0,1562,56,884,134,71,1,47,2,132,4,73,7
276,184,6,95,25,4327,206,2125,934,227,11,100,50,172,6,84,39
277,55,0,40,0,1152,25,646,120,76,4,47,6,69,3,46,10
278,183,8,63,52,4642,249,1522,1491,339,18,92,118,125,6,30,55
279,295,5,180,24,7615,367,3593,1501,301,15,139,58,149,8,69,32
280,70,1,37,4,3992,63,2474,262,163,2,94,12,151,5,87,13
281,2,0,0,0,214,2,114,15,18,0,7,1,66,1,26,7
282,240,12,142,34,725,27,372,86,286,14,152,41,52,1,28,4
283,146,7,39,63,1968,123,533,830,185,10,38,81,50,3,12,25
284,259,1,163,13,2609,106,1461,414,250,10,123,47,168,5,96,33
285,14,0,7,2,2007,32,1122,191,59,0,25,3,71,0,27,7
286,13,1,9,1,208,6,133,13,38,1,27,3,38,0,26,3
287,109,5,33,11,566,21,170,96,70,2,17,5,93,3,31,9
288,140,8,87,13,6863,364,3926,960,307,11,200,29,430,22,243,58
289,70,2,33,16,1550,48,888,195,92,2,50,16,48,3,33,5
290,48,1,26,1,1312,17,808,86,108,0,53,7,206,1,122,9
291,40,1,20,7,974,21,479,166,59,4,27,13,56,2,34,8
292,61,0,42,3,942,18,557,66,133,2,79,12,216,0,135,11
293,82,6,55,8,5432,229,3472,567,244,15,162,25,148,12,100,17
294,53,1,38,6,4082,118,2549,447,114,5,75,7,142,10,93,12
295,124,1,79,4,3887,105,2213,436,369,5,226,24,345,15,187,71
296,76,3,49,4,2910,69,1879,174,98,5,70,4,117,4,84,4
297,58,1,28,4,2144,31,1253,122,109,1,48,2,158,0,74,10
298,18,0,9,1,1325,36,767,168,40,1,18,7,37,0,21,5
299,17,0,10,1,842,24,443,138,39,1,19,11,435,7,301,37
300,92,2,56,6,2401,78,1311,300,236,6,124,22,167,2,102,13
301,81,1,52,3,4893,144,2754,491,308,15,180,31,146,3,88,10
302,78,2,52,2,1596,33,984,89,228,4,143,10,257,7,134,30
303,40,0,24,0,820,11,427,68,64,0,32,4,53,0,28,4
304,380,7,214,16,6714,173,3855,519,745,12,475,35,137,5,73,11
305,30,1,25,1,2178,30,1366,122,48,2,35,3,125,6,44,56
306,244,3,161,8,8916,187,5457,761,432,4,254,26,324,6,197,30
307,112,5,73,9,10010,285,5918,906,347,8,196,45,199,10,113,24
308,183,6,83,50,1775,55,861,361,179,7,65,54,92,2,53,14
309,50,1,18,12,2176,113,882,558,93,3,32,27,52,1,12,17
310,90,8,48,21,5614,110,3575,321,111,3,64,16,88,2,49,10
311,21,0,7,0,1477,25,856,87,52,1,20,1,96,1,47,7
312,78,0,43,4,3546,69,2114,296,243,2,135,24,180,2,96,19
313,16,0,7,1,1839,35,969,196,29,0,14,3,30,0,14,2
314,33,4,24,5,1365,108,797,195,244,31,144,48,183,12,73,57
315,220,5,87,49,3396,145,1472,821,266,8,86,69,171,5,67,40
316,125,2,79,13,6816,243,3685,1166,236,6,142,29,123,6,83,8
317,120,5,72,18,1741,76,816,393,202,13,91,44,268,12,139,54
318,113,6,65,13,1740,80,880,277,55,4,31,9,39,2,25,6
319,99,0,65,11,2348,57,1280,351,98,1,57,10,104,3,66,9
320,11,0,8,1,1379,37,773,179,26,1,20,2,15,0,12,2
321,36,0,19,5,632,20,332,69,33,0,19,1,36,2,17,6
322,21,0,11,2,750,35,454,49,70,3,43,3,88,6,51,4
323,117,1,78,2,2422,62,1356,284,122,2,72,7,87,1,48,4
324,122,5,78,6,1065,37,475,177,110,5,52,23,99,1,50,20
325,39,3,13,6,684,50,336,118,60,4,32,5,45,1,20,6
326,137,13,98,19,5100,184,3014,680,466,20,266,76,335,9,171,67
327,6,0,4,2,1504,36,896,121,64,1,42,5,53,0,31,7
328,29,1,14,6,2077,29,1313,75,120,1,66,4,112,0,69,6
329,36,1,19,6,364,10,196,41,37,1,18,6,33,1,20,3
330,2,0,2,1,2279,51,1315,258,24,1,18,4,19,0,9,1
331,2,0,1,1,442,6,277,23,21,2,13,1,14,0,6,0
332,351,7,236,19,7301,168,4451,664,568,16,349,69,438,13,271,46
333,133,2,88,9,1801,48,981,260,118,4,67,17,114,4,76,12
334,83,1,55,6,874,18,467,96,32,0,18,2,34,0,22,2
335,18,1,14,4,729,29,390,152,40,1,23,8,51,3,25,14
336,27,1,18,1,710,20,377,116,23,0,15,0,21,1,11,1
337,63,2,42,1,1266,66,831,134,106,5,75,8,76,3,54,3
338,4,0,3,0,2236,62,1303,212,32,0,18,0,22,0,13,1
339,56,2,24,8,6781,218,3601,907,97,4,42,12,294,8,175,30
340,81,0,48,11,665,18,347,99,123,0,57,23,120,2,63,21
341,168,10,119,12,10071,389,6302,1011,228,14,157,18,73,7,51,9
342,91,4,43,14,4392,233,2318,652,176,20,82,38,70,9,36,14
343,36,2,24,1,2998,31,1797,108,98,2,62,3,269,2,150,6
344,139,13,50,44,8746,392,3136,2414,526,33,180,116,129,10,39,38
345,93,8,30,28,7733,483,3541,1680,183,11,56,57,79,7,23,24
346,150,2,106,4,4996,137,3163,349,610,19,371,63,518,19,292,66
347,73,0,35,10,1699,18,842,285,59,0,25,9,148,1,71,26
348,34,0,8,16,112,0,19,44,26,0,2,13,22,0,5,6
349,24,1,11,2,1236,18,589,140,160,3,81,13,155,5,92,15
350,112,0,74,6,2087,47,1327,184,119,4,75,12,84,1,50,9
351,104,1,59,8,1492,12,900,103,118,0,75,6,112,1,70,7
352,12,0,8,0,718,5,477,5,51,0,27,0,47,0,22,1
353,43,0,25,4,1815,25,1101,168,110,1,53,20,98,1,50,16
354,124,7,47,32,11421,582,4904,2678,280,14,95,68,251,19,87,72
355,63,0,53,1,4330,86,2745,358,96,0,72,5,65,0,52,3
356,196,2,109,31,4812,149,2279,1070,229,6,117,45,91,2,34,25
357,25,0,4,0,616,17,285,49,78,1,30,2,87,2,37,8
358,11,1,9,1,81,5,47,13,12,1,6,1,18,0,12,2
359,10,0,4,0,1548,35,943,133,116,2,73,4,287,4,193,16
360,64,2,42,1,1047,24,633,68,104,3,63,2,127,2,84,2
361,24,0,9,0,1948,27,1128,133,33,0,15,0,102,1,59,3
362,20,2,4,10,290,5,118,75,21,1,4,8,17,0,3,3
363,68,7,33,21,672,43,312,148,93,8,44,21,113,1,58,17
364,185,9,87,39,3327,142,1379,831,184,8,58,59,105,5,43,26
365,278,2,178,6,2673,42,1545,189,208,2,114,6,76,0,35,3
366,87,1,46,5,2407,49,1312,286,67,3,33,11,46,2,24,5
367,6,1,6,0,2247,80,1611,148,52,1,38,2,27,2,19,2
368,101,0,53,6,7479,145,4554,511,96,0,51,6,145,1,75,13
369,246,9,163,27,9497,366,6097,935,450,16,314,45,443,20,317,44
370,74,6,43,9,1466,44,919,133,108,4,74,7,89,3,59,7
371,17,0,9,1,2940,45,1935,159,83,2,54,5,49,0,27,2
372,52,1,34,5,4493,168,2490,661,52,4,32,9,54,3,30,8
373,18,0,12,0,739,12,375,62,79,0,36,2,58,0,28,2
374,30,1,19,1,4939,113,2955,486,99,6,70,12,109,1,68,15
375,69,2,41,4,2897,59,1844,213,174,4,103,9,108,3,67,7
376,24,1,14,3,392,18,164,67,35,1,16,4,12,0,6,0
377,65,4,44,8,4165,144,2386,546,102,6,58,14,65,4,37,8
378,7,0,6,1,1136,24,659,84,61,5,41,9,64,5,39,8
379,3,1,2,1,1305,31,818,82,91,3,52,7,85,0,54,7
380,92,3,40,13,2426,88,1098,393,156,6,60,22,48,4,15,11
381,93,1,58,4,3080,66,1747,273,542,11,300,63,147,2,82,9
382,271,6,169,18,3485,93,1988,441,160,5,81,17,118,3,62,14
383,167,9,80,35,8520,367,3515,2246,205,15,67,59,137,8,48,46
384,246,7,124,36,2128,58,1139,338,168,6,80,31,147,5,85,19
385,197,2,130,3,2185,33,1354,112,265,2,178,3,487,7,271,38
386,35,3,22,5,167,2,101,12,40,1,20,3,26,0,14,2
387,25,2,19,2,2804,26,1774,117,154,2,106,5,75,4,47,6
388,303,5,181,26,4806,207,2668,629,229,5,141,20,150,4,81,9
389,18,0,11,2,160,4,92,26,126,0,76,22,56,0,27,12
