id,real_age,user_setage,gender,playcard_level,playcard_point,playcard_coupon_num,is_push_open,utm_channel,signup_day,app_version,manufacturer,model,label
47,55,0,2,29,700,0,1,7,730,64,62,1371,0
48,22,0,1,25,300,60,1,,601,73,62,242,0
49,30,,1,102,800,150,0,,119,106,90,327,0
50,30,0,2,57,900,0,1,,356,68,100,1114,0
51,48,0,2,62,800,0,1,,1023,60,49,443,0
52,24,,1,30,200,290,1,,292,68,216,198,0
53,25,0,1,34,300,300,1,12,588,68,216,1839,0
54,27,0,1,12,800,190,1,43,556,23,216,1934,0
55,,,2,,,,0,,666,23,100,1879,1
56,44,0,2,58,0,890,0,,415,9,90,237,0
57,29,0,2,43,100,10,0,,615,106,90,327,0
58,23,0,2,57,400,0,1,43,695,106,90,782,0
59,19,0,2,27,400,80,1,7,532,68,216,1562,0
60,26,,2,51,0,10,1,,53,29,62,1943,0
61,19,,1,66,600,0,1,,107,68,100,2016,0
62,18,,1,43,0,10,1,43,851,23,216,2150,0
63,48,,1,33,800,0,1,14,36,73,62,1238,0
64,37,0,1,71,600,10,1,7,215,59,216,507,0
65,23,0,2,81,0,20,1,7,421,68,62,841,0
66,25,0,2,74,200,50,0,,596,106,90,327,0
67,21,0,2,72,100,0,0,7,722,68,100,706,0
68,22,0,2,52,400,0,0,43,720,68,100,2030,0
69,26,0,2,72,400,10,1,,183,68,100,2021,0
70,26,0,2,63,300,160,0,43,627,73,100,233,0
71,72,,2,39,500,100,1,,54,73,100,1838,1
72,25,0,1,80,900,0,1,43,665,68,219,2134,0
73,26,0,2,96,400,660,1,43,593,106,90,772,0
74,33,0,2,72,0,10,1,43,649,68,216,507,0
75,30,0,1,81,700,70,1,43,678,68,216,1473,0
76,25,0,2,19,300,10,1,,231,29,62,1314,0
77,27,,2,59,500,10,0,,67,9,90,327,0
78,,,1,,,,1,,633,68,216,968,0
79,,,2,,,,1,,1580,106,90,782,0
80,35,0,1,6,100,70,1,,1692,29,216,225,0
81,21,1,1,22,0,0,1,43,590,64,62,1358,0
82,48,1,1,55,300,0,1,,598,68,216,460,1
83,31,0,1,30,0,0,0,,1323,106,90,782,0
84,28,0,1,40,300,40,0,43,629,73,202,1619,0
85,47,0,2,56,100,0,1,,247,106,90,782,1
86,51,1,2,20,300,0,0,43,600,73,100,1896,
87,27,0,2,71,300,2060,0,,302,106,90,592,0
88,34,0,1,14,0,40,1,43,690,29,216,212,0
89,27,0,2,71,900,0,0,,642,68,100,706,0
90,27,0,2,20,700,30,1,43,684,106,216,1289,0
91,19,0,1,14,700,540,1,43,616,73,219,1936,0
92,31,,2,73,900,0,0,,503,106,90,1782,0
93,56,1,2,69,300,0,1,14,287,68,62,1491,0
94,24,0,1,102,700,10,1,7,521,106,90,237,0
95,60,1,2,30,400,0,1,43,426,29,100,1318,1
96,55,1,2,33,300,0,0,,111,106,90,772,
97,32,0,2,80,500,60,1,,179,106,90,592,0
98,21,0,1,14,100,10,1,,568,87,62,1039,0
99,18,0,1,60,400,0,0,43,746,106,90,592,0
100,21,,2,41,900,0,1,,494,73,62,599,0
101,,,2,,,,1,,601,68,100,1683,0
102,25,,1,60,600,330,1,,94,106,90,2279,0
103,56,0,2,37,0,0,1,,243,23,216,726,1
104,28,0,1,56,500,10,1,,523,66,216,1462,0
105,28,0,2,70,700,330,1,,687,68,216,546,0
106,23,0,2,53,800,30,1,7,688,64,62,1016,0
107,27,0,2,80,100,0,1,43,644,106,90,702,0
108,24,0,1,9,500,100,0,,480,23,62,1541,0
109,,,1,,,,0,,1057,106,90,83,0
110,28,0,1,33,300,20,0,,378,68,216,1289,0
111,28,0,2,34,300,0,1,,550,29,216,23,0
112,29,0,2,15,100,0,1,,694,59,62,815,0
113,27,0,1,46,900,0,1,7,550,29,219,1281,0
114,27,0,1,73,700,40,1,44,681,68,100,2121,0
115,,,2,,,,0,,652,73,100,2268,0
116,50,0,2,74,400,30,1,7,602,68,62,335,1
117,22,,1,25,0,0,0,,232,9,90,2092,0
118,29,0,2,70,100,40,1,,321,106,90,592,0
119,26,,1,19,800,90,0,40,409,106,90,83,
120,26,0,2,7,700,50,0,43,612,30,90,2279,0
121,22,,1,65,900,10,1,,80,88,90,2279,0
122,46,0,2,70,400,90,1,7,190,68,216,932,0
123,64,1,2,68,400,0,1,7,221,68,62,2272,0
124,21,,1,63,700,0,1,7,313,26,90,1444,0
125,26,0,2,80,0,10,1,43,586,68,62,1513,0
126,54,1,2,23,600,0,0,,623,66,62,1008,1
127,21,,1,54,800,70,1,,391,68,216,1831,0
128,34,0,1,80,100,0,1,43,885,68,62,381,0
129,21,0,2,19,800,50,0,43,699,30,90,237,0
130,29,0,1,28,400,160,0,,607,66,62,1039,0
131,23,0,1,61,700,20,1,43,698,68,62,2278,0
132,25,,1,66,300,0,0,,1578,9,90,83,0
133,24,0,1,40,700,0,1,43,193,23,216,475,0
134,31,0,1,49,600,200,0,,53,73,216,263,0
135,26,0,1,24,700,0,1,,468,68,100,323,0
136,45,,2,37,600,0,1,,167,73,100,980,0
137,24,0,1,70,900,10,1,7,371,106,90,91,0
138,28,0,2,64,400,80,1,43,558,106,90,2092,0
139,27,0,2,6,300,0,0,43,405,29,216,1196,0
140,32,,1,19,0,60,1,,53,73,62,2036,
141,54,,2,11,900,0,1,14,195,29,62,731,0
142,33,,1,6,0,0,1,43,606,29,216,659,1
143,23,0,1,77,300,10,1,,642,26,90,782,0
144,43,1,2,66,600,0,1,,242,68,100,2123,0
145,27,,2,133,700,1770,0,43,149,9,90,407,0
146,34,1,2,12,500,0,1,,95,29,100,233,0
147,29,,1,15,800,0,1,43,380,99,90,1444,0
148,21,,1,56,0,0,1,,346,68,62,1870,0
149,25,0,1,65,100,10,1,,379,68,216,198,0
150,18,0,2,24,300,0,1,,542,106,90,1610,0
151,20,,1,66,500,10,0,20,89,68,100,845,0
152,32,0,2,72,300,0,0,43,635,9,90,407,0
153,25,0,2,51,0,0,1,,644,68,110,539,0
154,24,0,1,71,600,0,1,,642,68,110,281,0
155,20,0,2,68,700,10,1,43,678,106,90,237,0
156,22,0,1,67,200,20,0,,572,9,90,2279,0
157,40,,2,11,300,0,0,43,573,29,100,706,1
158,32,,1,31,800,10,1,7,15,68,216,2048,
159,24,0,1,59,200,10,1,,1631,68,62,931,0
160,48,0,1,52,300,0,1,,213,68,100,1736,1
161,26,0,2,69,0,0,0,43,546,73,100,2121,0
162,24,0,1,45,700,40,0,,795,73,100,1508,0
163,28,0,2,9,400,90,0,,2164,88,90,2135,0
164,25,,1,68,200,10,1,,175,106,90,782,0
165,34,0,2,72,800,0,0,7,369,68,100,1114,0
166,66,,2,18,900,0,0,,49,68,100,927,1
167,23,,1,57,600,140,1,,111,68,216,1985,0
168,21,,1,33,700,0,0,,632,26,90,2279,0
169,28,,2,30,100,0,0,,305,88,90,782,0
170,25,,1,22,700,10,0,,134,106,90,1892,0
171,30,0,1,73,900,310,0,,479,68,62,1016,0
172,26,0,2,75,800,0,1,,717,68,216,1778,0
173,44,,2,21,200,0,1,,388,73,216,2246,0
174,31,0,2,67,200,20,1,43,731,68,62,1358,0
175,34,0,1,61,300,160,1,7,575,26,90,592,0
176,21,0,2,43,0,0,0,,341,106,90,2279,0
177,27,,1,80,200,320,1,,354,68,216,1625,0
178,44,1,2,43,900,10,0,,304,73,100,1813,1
179,29,0,2,66,900,160,0,,485,26,90,2092,0
180,34,0,2,40,200,0,1,14,535,73,62,491,0
181,31,0,2,20,400,50,0,43,643,68,219,2134,0
182,46,,1,77,400,0,0,,259,68,100,769,0
183,20,,1,15,300,0,1,,311,62,216,1704,0
184,28,,2,81,700,10,1,,478,106,90,83,0
185,29,0,2,72,300,0,0,,568,73,216,436,0
186,26,,1,6,500,650,1,,428,29,216,659,0
187,27,0,2,75,700,450,1,7,243,59,216,494,0
188,30,0,1,28,600,20,1,43,318,68,216,2188,0
189,42,,2,43,0,0,1,,20,68,216,2188,0
190,31,,2,14,400,10,1,,420,29,216,1634,0
191,26,0,1,69,900,10,1,43,686,106,90,1444,0
192,25,0,2,70,400,0,1,7,617,68,100,2000,0
193,24,0,1,81,800,10,1,43,542,23,216,170,0
194,54,1,2,29,300,100,1,,64,73,100,1838,1
195,33,,1,72,300,10,1,,1910,68,216,1401,0
196,43,0,2,70,300,0,1,,291,29,62,1371,0
197,38,,2,18,100,0,0,7,234,23,100,292,1
198,24,0,1,70,700,120,1,43,565,68,216,1934,0
199,26,,1,68,800,10,1,7,96,64,110,68,0
200,42,1,2,14,100,0,1,7,411,73,62,129,0
201,36,0,1,42,300,50,0,,931,106,90,702,0
202,46,0,1,39,400,0,0,7,44,68,216,1158,0
203,35,0,2,69,800,50,0,,572,106,90,592,0
204,28,,2,71,500,30,1,,430,68,216,198,0
205,22,0,2,67,300,0,1,44,678,106,90,1610,0
206,34,0,2,55,500,10,1,,620,9,90,1444,1
207,27,0,2,72,300,30,0,,690,106,90,1610,0
208,18,,1,70,200,0,1,,166,73,100,980,0
209,29,0,1,3,400,100,0,,461,30,90,1610,0
210,25,0,1,65,0,10,1,43,80,68,216,958,0
211,45,1,2,52,100,0,1,,349,73,219,2014,1
212,28,,1,16,900,10,0,,191,30,90,1610,0
213,19,,2,22,100,0,0,,147,30,90,237,0
214,19,,1,70,900,20,1,,581,73,49,352,0
215,29,,2,55,500,10,0,43,449,29,216,1843,0
216,31,0,1,45,700,10,0,,556,106,90,2092,0
217,26,0,2,30,500,0,0,,1271,30,90,1610,0
218,27,0,2,70,900,10,1,7,420,68,216,1462,0
219,30,0,2,43,500,400,1,10,303,88,90,782,0
220,21,,2,7,300,40,1,,108,30,90,2279,0
221,35,0,1,57,500,200,1,43,602,26,90,1892,0
222,22,0,2,20,200,20,1,7,1233,73,100,1508,0
223,49,0,2,91,400,20,1,43,1506,68,216,1934,0
224,33,0,1,70,600,430,1,43,595,106,90,1782,0
225,23,0,1,27,0,70,0,43,735,30,90,1277,0
226,31,,1,39,300,90,1,,20,68,62,2036,0
227,24,0,2,67,600,0,1,,642,68,216,1708,0
228,31,0,2,80,500,0,0,,635,106,90,782,0
229,21,0,1,68,700,60,1,7,648,68,62,136,0
230,18,0,1,71,700,10,0,43,615,106,90,1610,0
231,26,0,2,65,500,100,0,7,309,75,62,1016,0
232,22,0,1,67,0,310,1,7,614,73,216,1778,0
233,27,0,2,63,0,0,1,43,716,106,90,1610,0
234,61,,2,33,200,20,1,,12,68,100,2121,0
235,30,0,1,99,900,0,1,43,53,68,216,198,0
236,32,0,1,13,300,0,0,,699,29,100,323,0
237,31,0,2,40,900,0,1,,136,73,100,650,0
238,29,0,1,66,600,0,1,7,553,68,100,1509,0
239,22,0,2,74,400,110,1,43,710,68,62,1541,0
240,27,0,2,80,600,160,1,7,601,68,100,2121,0
241,50,,2,63,300,10,1,,687,68,110,1058,0
242,28,,1,59,600,140,1,,146,73,62,71,0
243,27,1,1,24,300,20,1,,609,99,90,2279,0
244,20,0,2,80,900,0,0,,234,68,62,2283,0
245,33,0,2,151,300,140,0,,612,106,90,327,0
246,21,,1,63,500,20,1,,174,68,110,1342,0
247,47,0,1,16,400,120,1,,217,29,62,2269,0
248,19,,2,71,200,30,1,,429,93,216,1562,0
249,29,,2,64,800,0,1,,431,68,62,2278,0
250,31,0,2,41,500,40,1,,168,23,62,1039,0
251,33,0,2,40,500,2030,1,43,684,29,62,1597,0
252,28,0,1,37,600,1370,1,,387,68,216,1057,0
253,22,0,1,11,500,10,1,,532,30,90,782,0
254,23,0,2,68,400,0,1,43,710,29,81,920,0
255,69,,2,25,300,0,1,,693,68,100,1508,1
256,25,,1,29,500,10,1,,172,73,216,1897,0
257,36,0,2,71,700,230,0,43,229,106,90,2135,0
258,58,0,2,68,800,0,1,43,96,29,216,1577,0
259,21,1,2,13,200,900,1,43,436,29,62,936,1
260,47,,1,33,800,0,1,,404,73,110,1058,0
261,56,1,2,54,700,0,0,7,241,68,100,2123,1
262,26,0,1,76,800,30,0,,615,106,90,1444,0
263,28,0,2,64,200,0,1,,568,68,62,864,0
264,29,0,1,67,500,320,0,43,676,23,62,136,0
265,21,0,2,75,100,0,1,,536,68,216,2048,0
266,28,,2,82,100,0,1,7,136,68,100,769,0
267,,,2,,,,1,,639,66,100,1851,0
268,31,,1,68,900,40,0,,110,68,100,1006,0
269,20,0,2,13,400,0,1,,597,73,110,159,
270,,,2,,,,1,,575,73,100,1126,0
271,31,,,,,,1,,,106,90,2135,0
272,43,,2,57,300,140,1,14,31,68,62,1890,1
273,,,1,,,,1,,585,68,216,202,0
274,18,,1,32,100,0,1,,63,23,216,202,0
275,39,,1,85,300,10,1,,331,106,90,83,0
276,56,,1,76,500,40,1,,192,106,90,782,0
277,26,,2,67,300,0,0,,317,106,90,2092,0
278,51,0,2,52,100,0,0,43,555,68,100,2121,0
279,45,,1,64,300,0,1,7,143,66,100,927,0
280,,,1,,,,0,,707,106,90,1277,0
281,36,0,2,51,0,10,1,,73,106,90,1277,0
282,36,0,1,40,200,30,1,7,147,64,62,2272,0
283,57,0,2,56,800,250,1,7,68,68,62,2036,
284,21,,2,54,900,0,1,7,403,68,62,242,1
285,30,0,2,29,100,60,0,43,669,26,90,2092,0
286,25,0,1,61,500,150,0,,464,106,90,83,0
287,22,,1,5,400,10,1,7,55,29,216,202,0
288,19,0,2,62,500,0,1,43,273,106,90,1892,0
289,24,0,1,30,0,40,1,,603,78,216,751,0
290,31,,1,48,0,0,1,,360,68,216,260,
291,31,,1,30,300,0,1,,14,9,90,592,
292,27,,1,91,800,80,1,,31,68,62,82,0
293,23,0,2,71,100,40,0,,781,68,100,216,0
294,19,0,1,65,600,0,1,7,468,68,100,1557,0
295,,,1,,,,0,,586,68,216,436,0
296,20,0,1,43,0,20,1,,644,68,216,454,0
297,34,0,2,70,500,10,0,,669,68,100,323,0
298,21,0,1,17,300,10,1,7,614,29,219,1749,0
299,21,,1,32,800,10,1,7,209,58,90,782,0
300,29,0,1,69,200,10,1,,565,68,62,2213,0
301,28,0,1,81,800,10,0,43,695,68,100,2164,0
302,33,0,2,68,300,0,1,,609,106,90,1610,0
303,25,,2,63,0,380,0,,273,68,100,1718,0
304,23,0,2,77,0,0,1,43,604,68,100,2164,0
305,24,,1,54,600,10,1,,211,106,90,592,1
306,22,0,2,81,400,0,0,7,756,106,90,592,0
307,23,,1,22,500,50,1,,368,30,90,83,0
308,24,,1,74,600,10,1,,107,68,100,1318,0
309,33,,2,63,500,0,1,43,399,68,100,361,0
310,24,,2,76,900,0,1,,608,9,90,782,0
311,30,0,1,35,200,280,1,7,383,59,110,786,0
312,23,0,2,100,800,30,1,,595,26,90,2092,0
313,23,,1,26,400,0,0,7,147,23,101,743,
314,30,0,2,65,800,0,1,7,601,68,216,436,0
315,,,2,,,,0,,1810,68,100,1126,0
316,18,0,2,27,300,0,0,,110,26,90,1610,0
317,24,0,1,77,500,0,1,7,506,68,110,539,0
318,21,1,1,81,100,0,1,7,587,68,62,1039,0
319,33,,1,73,100,10,1,,163,68,100,2030,0
320,34,0,2,23,900,0,1,12,700,68,110,1539,0
321,23,0,2,12,200,110,0,7,587,29,100,980,0
322,22,0,2,32,900,0,1,,212,30,90,592,0
323,30,0,1,53,900,10,1,,574,68,100,1880,0
324,28,0,1,66,600,0,1,,668,68,62,2278,0
325,27,0,1,52,600,0,1,,668,106,90,1444,1
326,20,1,2,71,900,40,1,7,166,106,90,782,0
327,74,,2,62,700,20,1,,200,68,216,1462,0
328,30,0,2,61,0,0,1,,669,41,216,1462,0
329,22,,2,34,800,10,1,,177,30,90,1892,0
330,21,0,1,23,700,0,1,,566,68,216,744,0
331,27,0,2,8,200,30,0,,626,9,90,237,0
332,22,0,2,75,0,20,1,,716,106,90,2092,0
333,21,0,1,80,0,10,1,43,589,68,62,1239,0
334,19,0,2,80,0,10,1,,680,73,100,2030,0
335,47,0,2,14,200,40,1,,581,29,62,687,0
336,30,,1,74,900,10,1,43,134,106,90,83,0
337,18,,2,79,600,20,1,,125,9,90,782,0
338,25,0,1,18,900,0,0,,586,68,62,905,0
339,21,0,1,95,700,10,1,,750,106,90,83,0
340,28,0,1,81,0,0,1,43,894,23,62,2036,0
341,35,1,2,15,200,60,0,3,805,29,100,365,0
342,69,0,2,63,700,0,1,,595,68,110,121,0
343,30,0,2,37,300,0,0,43,292,26,90,83,0
344,58,1,2,54,400,0,0,43,514,30,100,304,0
345,30,,1,66,600,0,1,,243,68,216,1140,0
346,36,0,2,85,400,0,1,43,671,106,90,592,0
347,52,,1,62,200,0,1,,28,23,62,381,0
348,45,,1,20,900,20,0,,48,68,40,551,1
349,25,0,1,74,100,10,1,43,580,68,216,202,0
350,19,0,2,69,100,0,1,7,895,30,90,83,0
351,32,0,2,51,400,10,1,,612,106,90,2135,0
352,31,0,2,63,400,80,1,,682,106,90,83,0
353,33,0,2,66,700,110,1,,694,106,90,348,1
354,36,0,2,72,300,10,1,,362,68,100,233,0
355,19,,1,13,200,0,1,7,1613,64,62,1371,0
356,35,0,2,14,0,0,1,7,336,29,100,289,0
357,34,0,2,15,200,180,1,43,354,29,216,8,0
358,23,,2,34,0,10,1,,104,68,62,33,0
359,20,0,2,96,0,10,0,29,576,88,90,237,0
360,32,,2,70,400,0,1,,58,68,216,460,0
361,24,0,2,69,800,0,1,,635,106,90,237,0
362,62,1,2,28,200,90,1,50,38,106,90,1467,1
363,29,0,1,31,600,0,0,,589,73,100,1508,0
364,44,,1,30,700,0,0,,403,73,100,980,0
365,40,0,2,31,600,70,0,,601,23,216,1242,0
366,21,0,2,82,300,50,1,14,666,68,62,1870,0
367,24,0,2,20,700,0,0,,1961,23,100,834,0
368,23,0,2,69,900,0,0,43,463,26,90,83,0
369,19,,2,72,900,0,1,,1527,106,90,327,0
370,23,0,1,52,100,10,1,,876,106,90,1610,0
371,22,0,2,43,100,20,1,3,438,73,100,323,0
372,37,0,1,36,400,10,1,14,621,68,62,1358,0
373,33,,1,72,100,0,1,,336,68,62,277,0
374,20,0,1,10,500,0,1,7,300,29,100,292,0
375,31,0,2,37,800,10,1,43,753,68,100,872,0
376,31,,1,33,500,80,1,7,43,78,49,1553,0
377,19,0,1,55,900,10,1,7,302,26,90,83,0
378,20,0,2,77,300,540,0,,611,26,90,327,0
379,,,2,,,,1,,685,68,216,1158,0
380,45,0,1,42,600,10,1,43,793,68,62,444,0
381,23,0,2,71,900,90,0,,671,106,90,83,0
382,31,,1,72,100,30,0,,101,106,90,782,0
383,37,1,1,80,100,0,1,,480,106,90,1189,0
384,25,0,1,75,100,0,1,,682,68,216,1942,0
385,27,0,1,96,700,10,1,43,616,106,90,327,0
386,23,,1,7,0,180,1,43,107,29,62,321,0
387,22,0,2,13,300,70,0,,575,106,90,592,
388,22,0,2,42,400,0,1,,67,23,62,1793,0
389,18,,2,33,600,20,1,,88,106,90,2279,0
390,31,0,2,100,0,30,1,,149,106,90,237,0
391,,,2,,,,1,,2152,106,90,2135,0
392,19,,2,32,500,10,1,,228,9,90,702,0
393,22,,1,30,900,170,1,43,149,68,216,1462,0
394,21,0,1,65,400,0,1,43,551,68,100,703,0
395,57,,2,14,0,0,1,,64,29,62,1417,1
396,26,0,1,29,100,50,0,43,694,68,100,1508,0
397,24,,1,25,500,0,1,7,144,73,100,1540,
398,25,0,1,79,400,40,1,12,623,73,110,1255,0
399,49,,2,18,0,0,1,,37,106,90,1610,0
400,18,0,1,71,700,10,1,12,312,68,62,2272,0
401,26,,1,65,200,10,1,,413,68,62,242,0
402,31,0,1,30,600,60,0,,444,23,100,1126,0
403,19,0,2,81,200,0,1,,600,68,62,683,0
404,40,,1,11,100,10,1,43,289,29,216,2150,0
405,29,0,1,66,400,30,1,43,408,106,90,1610,0
406,18,,2,6,500,0,1,,78,29,62,936,0
407,32,1,2,18,200,0,1,43,575,29,216,1530,0
408,,,2,,,,1,,580,29,216,2041,1
409,28,,2,19,0,50,1,,241,73,202,1619,
410,28,0,1,35,400,10,1,,619,68,216,668,0
411,68,,2,67,700,0,0,,112,30,90,1610,1
412,21,,2,26,400,40,0,7,468,68,216,858,0
413,30,0,2,46,100,120,1,7,411,68,216,1289,
414,33,,,,,,1,,,73,100,2123,0
415,24,0,1,45,0,210,1,,319,23,216,198,0
416,31,,1,21,300,0,1,,357,106,90,702,0
417,34,0,2,56,200,0,0,,436,58,90,1892,0
418,23,,1,81,400,40,1,12,175,68,216,23,0
419,33,0,1,80,600,0,1,,363,68,216,659,0
420,27,0,2,67,0,0,0,,677,68,100,769,0
421,27,,1,147,200,0,1,43,82,68,216,475,0
422,28,0,1,71,600,0,1,44,691,106,90,782,0
423,31,0,2,53,100,0,0,,665,106,90,2092,0
424,35,,2,68,300,10,1,,394,68,62,242,0
425,23,0,1,9,500,590,1,43,821,23,216,962,0
426,71,0,2,54,900,0,1,,833,68,216,616,0
427,23,,1,7,300,0,0,,191,30,90,782,0
428,26,0,2,76,700,0,1,,390,68,216,1973,0
429,20,0,1,20,500,10,1,,604,29,110,1534,0
430,25,0,1,41,100,70,0,,500,29,62,599,0
431,20,,2,74,500,0,1,,413,68,216,1973,0
432,22,,2,81,600,0,1,,435,106,90,83,0
433,20,,2,38,200,0,1,7,681,23,62,1870,0
434,21,0,2,68,200,10,1,43,87,106,90,1610,0
435,26,1,2,78,100,90,0,,1879,106,90,1277,0
436,22,0,2,70,900,0,1,43,782,68,100,1114,0
437,55,,2,23,700,0,1,7,268,73,62,2036,0
438,26,0,1,33,800,50,0,43,589,106,90,592,0
439,32,,1,70,0,10,1,,120,106,90,1782,0
440,23,,2,21,600,10,0,,112,106,90,91,0
441,22,0,1,44,600,10,1,7,606,23,62,683,0
442,62,,1,67,700,0,1,,62,73,100,1813,0
443,62,,2,69,900,0,1,,273,9,90,1892,0
444,28,0,2,74,900,10,1,,596,68,216,1839,0
445,26,,1,68,900,0,1,,264,68,110,1286,0
446,31,0,2,62,300,90,1,,605,68,216,575,0
447,23,,1,31,100,0,1,,119,68,216,1291,0
448,30,0,1,73,100,40,1,43,181,106,90,782,0
449,,,1,,,,1,,712,68,100,1508,0
450,26,0,2,74,600,0,1,43,641,68,216,1934,0
451,28,0,1,75,700,50,1,,437,106,90,1610,0
452,32,,1,21,200,0,1,,250,23,100,2000,0
453,32,0,2,60,500,820,1,,1725,9,90,782,0
454,21,0,2,46,400,0,1,7,363,78,62,938,0
455,41,0,2,23,300,0,1,,589,64,49,1553,0
456,27,0,1,67,500,70,0,43,700,106,90,782,0
457,26,0,1,68,600,20,1,,1448,73,62,2084,0
458,,,1,,,,1,,579,23,100,727,0
459,62,1,2,67,800,0,1,,336,68,62,2036,0
460,,,2,,,,1,,1911,68,62,464,0
461,45,0,1,27,800,0,1,43,529,23,216,202,0
462,21,0,1,68,0,0,1,7,583,68,216,338,0
463,22,0,2,43,400,0,0,43,492,106,90,782,0
464,50,0,2,56,400,30,1,,352,68,216,112,1
465,39,,2,67,900,0,1,,550,68,216,1973,0
466,20,1,1,63,400,0,1,,624,9,90,1277,0
467,30,0,2,71,0,10,1,43,726,68,100,903,0
468,,,2,,,,0,,1536,26,90,782,0
469,28,,2,13,0,60,1,43,643,106,90,1782,0
470,31,,1,98,100,10,1,,187,68,216,338,0
471,23,,1,31,400,70,1,,99,99,90,1892,0
472,30,,1,27,700,760,0,43,367,26,90,237,0
473,,,1,,,,1,,609,68,216,202,0
474,50,1,1,10,200,0,1,,200,23,219,2177,1
475,27,0,1,81,200,160,1,43,684,68,100,727,0
476,39,0,1,15,500,0,1,7,154,66,62,2036,1
477,38,1,2,30,300,90,1,,36,23,100,927,0
478,23,0,2,80,200,40,1,,613,106,90,2135,0
479,19,0,2,31,800,0,1,,603,73,216,1704,0
480,40,,1,3,200,10,1,,19,29,62,2272,0
481,25,0,2,68,900,0,1,,554,68,62,2036,0
482,49,1,2,8,900,0,1,,610,68,100,622,1
483,40,1,2,55,400,30,1,7,243,68,100,1006,0
484,36,,2,51,100,0,1,48,579,73,110,512,0
485,47,,1,31,800,0,1,37,54,29,110,190,1
486,29,0,1,25,200,20,1,,1460,66,100,1801,0
487,27,0,2,81,700,10,1,43,344,68,100,1508,0
488,25,,2,34,500,50,0,7,410,26,90,327,0
489,26,,1,81,800,0,0,,375,106,90,83,0
490,36,,2,71,0,0,1,3,172,106,90,2279,0
491,27,,2,57,900,10,0,,42,106,90,2279,0
492,30,0,1,83,0,30,1,43,212,68,216,1973,0
493,23,0,2,67,0,0,1,,374,68,219,2134,0
494,28,0,1,78,0,0,1,,628,68,100,1988,0
495,22,,1,71,200,10,1,20,116,106,90,2092,0
496,32,,2,21,700,0,0,7,616,41,62,86,0
497,31,0,2,79,0,540,1,43,645,68,216,1843,0
498,21,0,2,62,300,110,1,7,601,83,110,1723,0
499,64,,2,13,300,220,1,,64,29,62,2036,0
500,29,0,1,36,300,80,1,40,387,106,90,2279,0
501,23,0,2,71,600,40,1,43,1608,106,90,772,0
502,30,0,2,71,400,0,1,43,691,23,110,159,0
503,25,0,2,76,600,0,0,,550,106,90,1610,0
504,27,0,1,69,900,10,1,,1146,106,90,1099,0
505,55,0,1,11,800,0,0,14,43,73,62,1714,0
506,35,0,1,70,300,150,1,43,463,60,62,339,0
